modelo,config,acc_train,error_train,prec_train,recall_train,f1_train,acc_val,error_val,prec_val,recall_val,f1_val
DecisionTree,tree_depth=50_split=3_random=42,0.9606741573033708,0.0393258426966292,1.0,0.8960396039603961,0.9451697127937336,0.797752808988764,0.202247191011236,0.7419354838709677,0.696969696969697,0.71875
DecisionTree,tree_depth=50_split=2_random=42,0.9831460674157304,0.0168539325842697,1.0,0.9554455445544554,0.9772151898734176,0.7865168539325843,0.2134831460674157,0.7058823529411765,0.7272727272727273,0.7164179104477612
DecisionTree,tree_depth=10_split=3_random=42,0.9119850187265918,0.0880149812734082,0.9479768786127168,0.8118811881188119,0.8746666666666667,0.7808988764044944,0.2191011235955056,0.7213114754098361,0.6666666666666666,0.6929133858267716
DecisionTree,tree_depth=50_split=3_random=30,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8089887640449438,0.1910112359550562,0.7580645161290323,0.7121212121212122,0.734375
DecisionTree,tree_depth=50_split=3_random=25,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
DecisionTree,tree_depth=50_split=3_random=20,0.9662921348314608,0.0337078651685393,1.0,0.9108910891089108,0.9533678756476685,0.7921348314606742,0.2078651685393258,0.7301587301587301,0.696969696969697,0.7131782945736435
DecisionTree,tree_depth=50_split=2_random=25,0.9831460674157304,0.0168539325842697,1.0,0.9554455445544554,0.9772151898734176,0.7921348314606742,0.2078651685393258,0.7164179104477612,0.7272727272727273,0.7218045112781954
DecisionTree,tree_depth=50_split=4_random=25,0.951310861423221,0.048689138576779,0.9583333333333334,0.9108910891089108,0.934010152284264,0.7865168539325843,0.2134831460674157,0.7121212121212122,0.7121212121212122,0.7121212121212122
DecisionTree,tree_depth=40_split=3_random=25,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
DecisionTree,tree_depth=30_split=3_random=25,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
DecisionTree,tree_depth=20_split=3_random=25,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
DecisionTree,tree_depth=15_split=3_random=25,0.9588014981273408,0.0411985018726591,0.9945054945054944,0.8960396039603961,0.9427083333333334,0.797752808988764,0.202247191011236,0.7586206896551724,0.6666666666666666,0.7096774193548387
DecisionTree,tree_depth=17_split=3_random=25,0.9644194756554308,0.0355805243445692,0.9945945945945946,0.9108910891089108,0.9509043927648578,0.8033707865168539,0.1966292134831461,0.7540983606557377,0.696969696969697,0.7244094488188977
DecisionTree,tree_depth=18_split=3_random=25,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
DecisionTree,tree_depth=18_split=2_random=25,0.9812734082397004,0.0187265917602996,1.0,0.9504950495049505,0.9746192893401016,0.7921348314606742,0.2078651685393258,0.7164179104477612,0.7272727272727273,0.7218045112781954
DecisionTree,tree_depth=18_split=4_random=25,0.951310861423221,0.048689138576779,0.9583333333333334,0.9108910891089108,0.934010152284264,0.7865168539325843,0.2134831460674157,0.7121212121212122,0.7121212121212122,0.7121212121212122
DecisionTree,tree_depth=18_split=3_random=30,0.9644194756554308,0.0355805243445692,1.0,0.905940594059406,0.9506493506493506,0.8089887640449438,0.1910112359550562,0.7580645161290323,0.7121212121212122,0.734375
DecisionTree,tree_depth=18_split=3_random=20,0.9662921348314608,0.0337078651685393,1.0,0.9108910891089108,0.9533678756476685,0.7921348314606742,0.2078651685393258,0.7301587301587301,0.696969696969697,0.7131782945736435
DecisionTree,tree_depth=18_split=3_random=23,0.9662921348314608,0.0337078651685393,1.0,0.9108910891089108,0.9533678756476685,0.8033707865168539,0.1966292134831461,0.7540983606557377,0.696969696969697,0.7244094488188977
DecisionTree,tree_depth=18_split=3_random=27,0.9625468164794008,0.0374531835205992,1.0,0.900990099009901,0.9479166666666666,0.7921348314606742,0.2078651685393258,0.7301587301587301,0.696969696969697,0.7131782945736435
SVM,svm_C=5_kernel=linear,0.7790262172284644,0.2209737827715355,0.7282608695652174,0.6633663366336634,0.694300518134715,0.8146067415730337,0.1853932584269663,0.7704918032786885,0.7121212121212122,0.7401574803149606
SVM,svm_C=5_kernel=poly,0.8295880149812734,0.1704119850187265,0.87248322147651,0.6435643564356436,0.7407407407407407,0.8202247191011236,0.1797752808988764,0.8148148148148148,0.6666666666666666,0.7333333333333333
SVM,svm_C=5_kernel=rbf,0.8370786516853933,0.1629213483146067,0.8362573099415205,0.7079207920792079,0.7667560321715817,0.8314606741573034,0.1685393258426966,0.8333333333333334,0.6818181818181818,0.75
SVM,svm_C=5_kernel=sigmoid,0.6554307116104869,0.344569288389513,0.5420560747663551,0.5742574257425742,0.5576923076923077,0.651685393258427,0.348314606741573,0.527027027027027,0.5909090909090909,0.5571428571428572
SVM,svm_C=4_kernel=rbf,0.8352059925093633,0.1647940074906366,0.8313953488372093,0.7079207920792079,0.7647058823529411,0.8258426966292135,0.1741573033707865,0.8181818181818182,0.6818181818181818,0.743801652892562
